gid_nba,game_date,xid_possession,xid_chance,team_nba_off,team_nba_def,period,gameClock_start,gameClock_end,startType,outcome,score_margin,ptsScored_team,shot_fga,shot_fg,shot_fga3,shot_fg3,shot_qSP,shot_m_region,fouls_def,fouls_def_shooting,fta,fta_shooting,team_nba_winner
22100154,11/8/2021,47eb7cf1-d626-539d-9b61-d86f46aecd97,72f5a031-1f6a-5603-bea1-5dca7e8fa788,CHA,LAL,5,6.84,0.76,FGORB,FGX3,-3,0,1,0,1,0,24.83550734,Corner,,,,,LAL
22100081,10/30/2021,25a7778e-fe07-51ab-a021-5f57e735185f,b32c4fd9-a487-5828-b93b-3103d6d0a31e,IND,TOR,4,2.5,0,SLOB,FGX3,-3,0,1,0,1,0,31.36466208,ATB,,,,,TOR
22100942,3/3/2022,75e14b78-da35-5e2d-894f-0df951c9cc8e,2fe671ee-4296-5443-8ed4-631741c292de,TOR,DET,4,14.2,5.14,SLOB,FGX,-3,0,1,0,0,0,25.82209485,NRA,,,,,DET
22100353,12/6/2021,8643a975-c0bc-5b93-b3ea-3cb6390adead,fb5a9628-74c7-51ba-9db5-f641ae30a72d,CHA,PHI,5,10.1,6.48,SLOB,Out of Bounds,-3,0,,,,,,,,,,,PHI
22100910,2/26/2022,13fc0f9a-a941-5a56-b1e9-db0024d7c21d,cb3278b3-7cfe-5b8e-9ef7-2a11e2ff686a,MIL,BKN,4,21.74,14.68,FTDRB,FOU_S,-3,2,0,0,0,0,,ATB,1,1,3,3,BKN
22100832,2/10/2022,1e549453-60de-5b34-8b24-b676a3e45bff,e5aa04a6-0301-5ce5-a63b-4de5fdec86b7,BKN,WAS,4,6.3,0.6,SLOB,FGX3,-3,0,1,0,1,0,31.26884845,ATB,,,,,WAS
22100078,10/30/2021,38cc50ce-7031-5ad2-ab75-4af26f4e601e,1aff3e7c-7232-5cc5-b5db-d4f64b67a0f8,BOS,WAS,6,10.3,1.88,SLOB,FGX3,-3,0,,,,,,,,,,,WAS
22100546,1/2/2022,0adb7576-4b02-54b4-b1fd-fb61ce170917,9177e118-e55d-5a05-aa2b-50b023c718e3,ORL,BOS,5,6.6,4.06,SLOB,Out of Bounds,-3,0,,,,,,,,,,,BOS
22100021,10/22/2021,a19ac648-604c-5234-a869-cc762702653b,b51e02fe-426a-5965-8b80-e7fe72116cef,PHI,BKN,4,16.7,15.24,SLOB,FOU_B,-3,1,,,,,,,1,0,2,0,BKN
22100915,2/27/2022,8602c987-1725-5c35-b1cc-8da33ba01e6f,ccb79c50-b6e0-56fe-b5b5-27d12ce65253,CHA,DET,4,13.5,10.84,SLOB,FOU_B,-3,2,,,,,,,1,0,2,0,DET
22100061,10/27/2021,433db674-cbaf-5d96-94dc-2a6144e27d3d,ec21f23a-58ad-5802-addc-ef740a9647cd,LAL,OKC,4,17.7,10.96,SLOB,FGX3,-3,0,1,0,1,0,40.20169924,ATB,,,,,OKC
22100533,12/31/2021,4d6fc0cd-03eb-58a9-9c42-88981bc1548b,54752354-03e6-5260-896b-89f2ee440b6e,CLE,ATL,4,12.2,10.42,SLOB,FGM,-3,2,1,1,0,0,73.55004147,RA,,,,,ATL
22100514,12/28/2021,3a87d305-8593-5bab-8f36-8f525559e18c,0f4dd452-349a-5ff4-8da2-abd6ae3654d7,GSW,DEN,4,2.2,0,SLOB,FGX3,-3,0,1,0,1,0,27.88412383,ATB,,,,,DEN
22100613,1/11/2022,7e07457c-33a6-568e-a04a-62997433a5a7,07cc647e-8a6f-5b8a-9a16-4c0e7dd89cfb,TOR,PHX,4,6.5,5.92,FTLINE,FOU_B,-3,2,,,,,,,1,0,2,0,PHX
22100860,2/14/2022,a3fe9725-1c02-5c3d-bf91-0808b2c06bf2,f57bd013-1ce7-5101-9a22-445bfadba22e,NYK,OKC,5,5,2.5,SLOB,FGX3,-3,0,1,0,1,0,51.16542543,Corner,,,,,OKC
22100233,11/19/2021,a3156c63-6465-5f3e-8550-b712a9e10bfe,b21f1e6f-5163-5bbd-a71e-6c0d770f9827,ORL,BKN,4,17,14.38,SLOB,FOU_N,-3,0,,,,,,,1,0,,,BKN
